piece,key,major,relative,sharps,scale,has_D#,has_D,D#_degree,D_degree
bwv323.mxl,f#,0,A,3,"['F#', 'G#', 'A', 'B', 'C#', 'D', 'E', 'F#']",False,True,,6.0
bwv324.mxl,G,1,e,1,"['G', 'A', 'B', 'C', 'D', 'E', 'F#', 'G']",False,True,,5.0
bwv325.mxl,F,1,d,-1,"['F', 'G', 'A', 'B-', 'C', 'D', 'E', 'F']",False,True,,6.0
bwv326.mxl,B-,1,g,-2,"['B-', 'C', 'D', 'E-', 'F', 'G', 'A', 'B-']",True,True,4.0,3.0
bwv327.mxl,D,1,b,2,"['D', 'E', 'F#', 'G', 'A', 'B', 'C#', 'D']",False,True,,1.0
bwv328.mxl,C,1,a,0,"['C', 'D', 'E', 'F', 'G', 'A', 'B', 'C']",False,True,,2.0
bwv329.mxl,E-,1,c,-3,"['E-', 'F', 'G', 'A-', 'B-', 'C', 'D', 'E-']",True,True,1.0,7.0
bwv33.6.mxl,a,0,C,0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'A']",False,True,,4.0
bwv330.mxl,a,0,C,0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'A']",False,True,,4.0
bwv331.mxl,a,0,C,0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'A']",False,True,,4.0
bwv332.mxl,G,1,e,1,"['G', 'A', 'B', 'C', 'D', 'E', 'F#', 'G']",False,True,,5.0
bwv333.mxl,g,0,B-,-2,"['G', 'A', 'B-', 'C', 'D', 'E-', 'F', 'G']",True,True,6.0,5.0
bwv334.mxl,g,0,B-,-2,"['G', 'A', 'B-', 'C', 'D', 'E-', 'F', 'G']",True,True,6.0,5.0
bwv335.mxl,b,0,D,2,"['B', 'C#', 'D', 'E', 'F#', 'G', 'A', 'B']",False,True,,3.0
bwv336.mxl,A,1,f#,3,"['A', 'B', 'C#', 'D', 'E', 'F#', 'G#', 'A']",False,True,,4.0
bwv337.mxl,a,0,C,0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'A']",False,True,,4.0
bwv338.mxl,a,0,C,0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'A']",False,True,,4.0
bwv339.mxl,A,1,f#,3,"['A', 'B', 'C#', 'D', 'E', 'F#', 'G#', 'A']",False,True,,4.0
bwv340.mxl,a,0,C,0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'A']",False,True,,4.0
bwv341.mxl,g,0,B-,-2,"['G', 'A', 'B-', 'C', 'D', 'E-', 'F', 'G']",True,True,6.0,5.0
bwv342.mxl,a,0,C,0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'A']",False,True,,4.0
bwv343.mxl,g,0,B-,-2,"['G', 'A', 'B-', 'C', 'D', 'E-', 'F', 'G']",True,True,6.0,5.0
bwv344.mxl,g,0,B-,-2,"['G', 'A', 'B-', 'C', 'D', 'E-', 'F', 'G']",True,True,6.0,5.0
bwv345.mxl,g,0,B-,-2,"['G', 'A', 'B-', 'C', 'D', 'E-', 'F', 'G']",True,True,6.0,5.0
bwv346.mxl,C,1,a,0,"['C', 'D', 'E', 'F', 'G', 'A', 'B', 'C']",False,True,,2.0
bwv347.mxl,A,1,f#,3,"['A', 'B', 'C#', 'D', 'E', 'F#', 'G#', 'A']",False,True,,4.0
bwv348.mxl,B-,1,g,-2,"['B-', 'C', 'D', 'E-', 'F', 'G', 'A', 'B-']",True,True,4.0,3.0
bwv349.mxl,F,1,d,-1,"['F', 'G', 'A', 'B-', 'C', 'D', 'E', 'F']",False,True,,6.0
bwv350.mxl,g,0,B-,-2,"['G', 'A', 'B-', 'C', 'D', 'E-', 'F', 'G']",True,True,6.0,5.0
bwv351.mxl,g,0,B-,-2,"['G', 'A', 'B-', 'C', 'D', 'E-', 'F', 'G']",True,True,6.0,5.0
bwv352.mxl,a,0,C,0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'A']",False,True,,4.0
bwv353.mxl,g,0,B-,-2,"['G', 'A', 'B-', 'C', 'D', 'E-', 'F', 'G']",True,True,6.0,5.0
bwv354.mxl,b-,0,D-,-5,"['B-', 'C', 'D-', 'E-', 'F', 'G-', 'A-', 'B-']",True,False,4.0,
bwv355.mxl,A,1,f#,3,"['A', 'B', 'C#', 'D', 'E', 'F#', 'G#', 'A']",False,True,,4.0
bwv356.mxl,g,0,B-,-2,"['G', 'A', 'B-', 'C', 'D', 'E-', 'F', 'G']",True,True,6.0,5.0
bwv357.mxl,c,0,E-,-3,"['C', 'D', 'E-', 'F', 'G', 'A-', 'B-', 'C']",True,True,3.0,2.0
bwv358.mxl,d,0,F,-1,"['D', 'E', 'F', 'G', 'A', 'B-', 'C', 'D']",False,True,,1.0
bwv359.mxl,A,1,f#,3,"['A', 'B', 'C#', 'D', 'E', 'F#', 'G#', 'A']",False,True,,4.0
bwv36.4-2.mxl,D,1,b,2,"['D', 'E', 'F#', 'G', 'A', 'B', 'C#', 'D']",False,True,,1.0
bwv36.8-2.mxl,b,0,D,2,"['B', 'C#', 'D', 'E', 'F#', 'G', 'A', 'B']",False,True,,3.0
bwv360.mxl,B-,1,g,-2,"['B-', 'C', 'D', 'E-', 'F', 'G', 'A', 'B-']",True,True,4.0,3.0
bwv361.mxl,B-,1,g,-2,"['B-', 'C', 'D', 'E-', 'F', 'G', 'A', 'B-']",True,True,4.0,3.0
bwv362.mxl,B-,1,g,-2,"['B-', 'C', 'D', 'E-', 'F', 'G', 'A', 'B-']",True,True,4.0,3.0
bwv363.mxl,e,0,G,1,"['E', 'F#', 'G', 'A', 'B', 'C', 'D', 'E']",False,True,,7.0
bwv364.mxl,g,0,B-,-2,"['G', 'A', 'B-', 'C', 'D', 'E-', 'F', 'G']",True,True,6.0,5.0
bwv365.mxl,a,0,C,0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'A']",False,True,,4.0
bwv367.mxl,C,1,a,0,"['C', 'D', 'E', 'F', 'G', 'A', 'B', 'C']",False,True,,2.0
bwv368.mxl,F,1,d,-1,"['F', 'G', 'A', 'B-', 'C', 'D', 'E', 'F']",False,True,,6.0
bwv369.mxl,G,1,e,1,"['G', 'A', 'B', 'C', 'D', 'E', 'F#', 'G']",False,True,,5.0
